,Data,Leonardo,Poste Italiane,Telecom Italia,Generali,UniCredit,Stellantis,Intesa Sanpaolo,Ferrari,Enel,Eni,FTSE MIB
0,2020-01-02,10.475,10.195,0.5595,18.51,13.488,10.771,2.381,149.55,7.212,14.008,23836.26
1,2020-01-03,10.58,10.065,0.5577,18.415,13.328,10.547,2.3495,149.5,7.211,14.106,23702.35
2,2020-01-06,10.875,9.978,0.5526,18.28,13.082,10.404,2.34,148.2,7.226,14.316,23581.29
3,2020-01-07,11.02,10.235,0.5476,18.415,13.16,10.452,2.345,148.8,7.23,14.32,23723.38
4,2020-01-08,11.35,10.095,0.5317,18.395,13.328,10.32,2.338,151.6,7.27,14.206,23832.02
5,2020-01-09,11.29,10.255,0.5263,18.47,13.518,10.349,2.374,152.75,7.305,14.14,24016.7
6,2020-01-10,11.345,10.21,0.5247,18.54,13.4,10.347,2.357,156.0,7.417,14.1,24021.4
7,2020-01-13,11.31,10.15,0.5121,18.4,13.29,10.283,2.341,155.65,7.4,14.04,23896.59
8,2020-01-14,11.11,10.06,0.515,18.43,13.398,10.252,2.347,156.25,7.4,13.874,23928.21
9,2020-01-15,11.06,10.065,0.5059,18.2,13.05,10.058,2.32,155.2,7.421,13.798,23763.86
10,2020-01-16,11.0,10.045,0.5099,18.295,13.116,10.044,2.3225,154.25,7.611,13.888,23940.41
11,2020-01-17,11.115,10.285,0.5123,18.34,13.15,10.026,2.3365,157.1,7.725,13.916,24141.07
12,2020-01-20,11.085,10.38,0.5114,18.305,12.92,10.047,2.3185,157.25,7.629,13.882,24002.45
13,2020-01-21,10.985,10.41,0.5066,18.255,12.994,9.944,2.304,155.1,7.61,13.714,23845.28
14,2020-01-22,10.965,10.275,0.4994,18.135,12.57,9.855,2.28,156.55,7.546,13.558,23706.29
15,2020-01-23,10.91,10.26,0.4942,17.935,12.556,9.715,2.268,155.3,7.62,13.458,23707.05
16,2020-01-24,11.175,10.585,0.5043,18.14,12.444,9.792,2.278,157.0,7.819,13.47,23969.13
17,2020-01-27,10.765,10.635,0.4935,17.72,12.336,9.562,2.255,151.2,7.674,13.196,23416.13
18,2020-01-28,10.835,11.08,0.5052,18.175,12.642,9.689,2.3055,156.35,7.899,13.398,24027.63
19,2020-01-29,11.205,10.995,0.5169,18.245,12.64,9.783,2.32,156.6,8.009,13.288,24164.73
20,2020-01-30,10.97,10.79,0.5054,17.89,12.384,9.618,2.2915,154.4,8.088,12.926,23781.1
21,2020-01-31,11.18,10.35,0.4868,17.595,12.082,9.462,2.2455,152.5,7.855,12.658,23237.03
22,2020-02-03,11.14,10.505,0.482,17.685,12.206,9.534,2.285,154.25,7.966,12.61,23460.01
23,2020-02-04,11.5,10.705,0.4918,17.945,12.58,9.686,2.3515,150.7,8.0,12.788,23844.85
24,2020-02-05,11.485,10.725,0.4895,18.135,12.832,9.928,2.4495,153.3,8.07,13.028,24236.63
25,2020-02-06,11.46,10.795,0.502,18.325,13.878,10.008,2.4715,153.4,8.13,12.97,24490.35
26,2020-02-07,11.82,10.905,0.4948,18.355,13.906,9.846,2.476,153.15,8.177,12.906,24478.32
27,2020-02-10,11.71,10.905,0.4906,18.44,13.964,9.665,2.459,153.25,8.2,12.78,24507.7
28,2020-02-11,11.63,11.035,0.4984,18.495,14.174,9.784,2.4825,156.6,8.193,12.926,24688.89
29,2020-02-12,11.755,10.975,0.5065,18.575,14.122,10.149,2.5075,159.55,8.132,13.1,24861.28
30,2020-02-13,11.635,10.98,0.525,18.6,14.028,10.026,2.51,158.65,8.207,12.988,24892.15
31,2020-02-14,11.475,10.95,0.5177,18.72,13.886,9.889,2.5075,159.75,8.277,12.892,24867.01
32,2020-02-17,11.375,10.935,0.5201,18.775,14.15,9.936,2.54,163.25,8.394,13.028,25120.54
33,2020-02-18,11.39,11.34,0.5194,18.78,14.06,9.844,2.6,164.95,8.467,12.91,25223.51
34,2020-02-19,11.255,11.51,0.5219,18.88,14.132,9.894,2.6035,167.2,8.566,12.938,25477.55
35,2020-02-20,11.05,11.285,0.5147,18.595,13.718,9.9,2.55,164.15,8.433,12.9,25080.16
36,2020-02-21,11.03,11.295,0.5342,18.43,13.184,9.742,2.5215,159.8,8.444,12.764,24773.15
37,2020-02-24,10.29,10.495,0.513,17.435,12.64,9.145,2.3765,151.3,8.03,12.168,23427.19
38,2020-02-25,10.0,10.335,0.5104,17.335,12.412,9.079,2.33,151.0,7.805,11.976,23090.44
39,2020-02-26,10.07,10.54,0.5283,17.265,12.552,9.497,2.381,150.15,7.955,12.064,23422.54
40,2020-02-27,9.636,10.085,0.527,16.9,12.002,9.325,2.2885,144.5,7.916,11.758,22799.37
41,2020-02-28,9.238,9.614,0.5001,16.26,11.538,9.066,2.1985,141.55,7.576,11.158,21984.21
42,2020-03-02,8.952,9.262,0.4864,15.98,11.03,8.733,2.1365,141.15,7.64,11.118,21655.09
43,2020-03-03,9.082,9.62,0.4779,15.98,10.562,8.823,2.119,143.3,7.793,11.12,21748.2
44,2020-03-04,8.798,9.688,0.4809,16.07,10.294,8.865,2.1275,142.0,8.24,11.152,21946.03
45,2020-03-05,8.888,9.432,0.4584,15.735,10.134,8.744,2.0465,139.95,8.145,10.968,21554.88
46,2020-03-06,8.5,9.722,0.4321,15.24,9.952,8.483,1.9772,135.0,7.891,10.234,20799.89
47,2020-03-09,7.52,8.458,0.3907,13.76,8.614,7.566,1.75,124.7,7.106,8.1,18475.91
48,2020-03-10,7.568,7.878,0.3672,13.55,8.314,7.523,1.7088,125.5,6.704,8.165,17870.18
49,2020-03-11,7.386,7.88,0.3817,13.55,8.54,7.679,1.7792,129.15,6.52,8.05,17928.64
50,2020-03-12,5.75,6.144,0.3112,11.795,7.066,6.307,1.4628,115.9,5.226,6.592,14894.44
51,2020-03-13,6.082,6.744,0.335,12.07,7.713,6.759,1.5544,123.2,5.619,6.911,15954.29
52,2020-03-16,5.344,6.502,0.2938,11.295,6.743,5.782,1.4028,122.0,5.486,6.492,14980.34
53,2020-03-17,5.218,6.496,0.3269,10.85,7.01,5.536,1.4514,126.15,5.72,6.866,15314.77
54,2020-03-18,4.719,6.37,0.3594,10.385,7.0,4.936,1.4086,127.5,5.89,6.694,15120.48
55,2020-03-19,4.766,6.914,0.3774,10.735,7.37,4.682,1.4252,130.4,5.83,6.965,15466.97
56,2020-03-20,4.702,6.936,0.3745,10.89,7.934,4.955,1.4654,131.0,5.889,7.293,15731.85
57,2020-03-23,4.59,7.176,0.3845,10.895,7.605,4.745,1.4488,125.2,5.972,7.287,15559.8
58,2020-03-24,5.25,7.666,0.396,12.1,8.365,5.355,1.5836,138.6,6.311,8.375,16948.6
59,2020-03-25,5.842,7.736,0.3868,12.45,8.433,5.511,1.6162,139.9,6.3,8.723,17243.68
60,2020-03-26,6.196,8.098,0.3676,12.66,8.303,5.557,1.631,141.2,6.279,8.711,17369.38
61,2020-03-27,6.04,7.852,0.363,12.375,7.86,5.224,1.5666,137.6,6.155,8.217,16822.59
62,2020-03-30,5.964,7.916,0.3601,12.365,7.274,5.089,1.4708,139.15,6.386,8.593,16872.41
63,2020-03-31,6.072,7.72,0.3724,12.41,7.147,5.3,1.4884,141.55,6.339,9.22,17050.94
64,2020-04-01,5.858,7.392,0.3717,12.095,6.86,5.099,1.4348,136.65,6.068,9.2,16544.97
65,2020-04-02,6.08,7.772,0.3793,12.33,6.779,5.069,1.4378,135.35,6.145,9.838,16834.03
66,2020-04-03,6.314,7.83,0.3802,12.185,6.54,5.0,1.3292,126.4,6.069,9.325,16384.35
67,2020-04-06,6.786,8.04,0.3924,12.545,7.107,5.336,1.4582,132.5,6.14,9.315,17039.31
68,2020-04-07,6.96,8.156,0.387,12.785,7.35,5.681,1.469,136.35,6.375,9.428,17411.72
69,2020-04-08,7.036,8.278,0.3795,12.785,7.314,5.741,1.4492,141.25,6.285,9.295,17380.82
70,2020-04-09,7.15,8.306,0.3707,12.87,7.437,6.032,1.445,140.6,6.453,9.308,17621.62
71,2020-04-14,7.084,8.34,0.3685,13.135,7.1,6.016,1.4062,141.45,6.447,9.167,17558.43
72,2020-04-15,6.68,7.606,0.3534,12.6,6.622,5.711,1.3484,137.6,6.207,8.582,16719.07
73,2020-04-16,6.622,7.668,0.349,12.39,6.666,5.733,1.3602,142.95,6.249,8.454,16768.14
74,2020-04-17,6.662,7.7,0.345,12.53,6.863,5.905,1.3762,148.6,6.209,8.587,17055.47
75,2020-04-20,6.576,7.612,0.349,12.53,6.897,5.992,1.383,145.6,6.192,8.434,17064.14
76,2020-04-21,6.2,7.45,0.3369,12.165,6.59,5.724,1.32,142.6,6.005,7.96,16450.85
77,2020-04-22,5.96,7.568,0.3354,12.365,6.718,5.847,1.3382,145.3,5.985,8.348,16765.28
78,2020-04-23,6.24,7.518,0.3467,12.465,6.9,6.053,1.3844,146.55,5.926,8.472,17011.11
79,2020-04-24,6.128,7.398,0.3373,12.37,6.688,5.928,1.3438,144.05,5.9,8.25,16858.89
80,2020-04-27,6.146,7.882,0.3449,12.745,6.969,6.208,1.3952,147.0,6.07,8.404,17380.21
81,2020-04-28,6.114,7.868,0.3446,12.97,7.228,6.364,1.4472,145.9,6.15,8.684,17677.15
82,2020-04-29,6.446,8.03,0.3644,13.3,7.376,6.597,1.4804,146.35,6.27,8.957,18067.29
83,2020-04-30,6.294,7.752,0.3616,13.015,7.029,6.465,1.423,143.4,6.236,8.714,17690.49
84,2020-05-04,6.0,7.45,0.345,12.7,6.634,6.1,1.376,145.5,6.007,8.211,17035.61
85,2020-05-05,5.886,7.564,0.3534,12.935,6.655,6.19,1.451,144.6,6.088,8.687,17387.38
86,2020-05-06,6.0,7.35,0.3504,12.735,6.6,6.152,1.4202,146.5,6.067,8.423,17159.31
87,2020-05-07,5.99,7.228,0.3428,12.82,6.496,6.129,1.4044,145.65,6.188,8.556,17245.04
88,2020-05-08,6.1,7.398,0.346,12.975,6.58,6.266,1.414,146.45,6.2,8.631,17439.3
89,2020-05-11,5.91,7.594,0.3482,12.86,6.615,6.156,1.4094,147.65,6.08,8.631,17381.36
90,2020-05-12,5.9,7.756,0.3683,12.805,6.656,6.123,1.4208,146.15,6.145,8.714,17559.32
91,2020-05-13,5.7,7.446,0.3649,12.56,6.4,5.948,1.3936,144.0,6.03,8.525,17183.44
92,2020-05-14,5.47,7.31,0.3581,12.405,6.284,5.781,1.3836,142.2,5.884,8.514,16867.76
93,2020-05-15,5.35,7.186,0.3608,12.56,6.213,5.809,1.3838,144.9,5.761,8.52,16852.35
94,2020-05-18,5.588,7.462,0.3801,12.415,6.58,6.285,1.4522,150.15,5.964,8.657,17401.45
95,2020-05-19,5.392,7.404,0.3473,12.195,6.491,6.0,1.4308,146.1,6.037,8.384,17034.54
96,2020-05-20,5.44,7.416,0.32,12.26,6.53,5.905,1.439,145.25,6.252,8.429,17213.11
97,2020-05-21,5.246,7.37,0.32,11.895,6.45,5.919,1.422,144.6,6.33,8.222,17087.06
98,2020-05-22,5.182,7.442,0.3207,12.175,6.73,5.981,1.4446,146.8,6.41,8.174,17316.29
99,2020-05-25,5.49,7.7,0.3261,12.13,6.772,6.19,1.4576,149.4,6.51,8.26,17595.9
100,2020-05-26,5.858,7.738,0.3304,12.465,7.073,6.399,1.5012,149.4,6.516,8.274,17860.46
101,2020-05-27,5.712,7.854,0.3305,12.72,7.404,6.579,1.5384,147.65,6.586,8.45,17910.25
102,2020-05-28,5.83,7.88,0.3352,12.775,7.665,6.653,1.5586,151.8,6.792,8.492,18351.16
103,2020-05-29,5.6,7.894,0.332,12.485,7.666,6.405,1.5524,151.9,6.901,8.123,18197.56
104,2020-06-01,5.912,7.966,0.3414,12.89,7.906,6.63,1.58,152.15,6.998,8.34,18523.71
105,2020-06-02,6.17,8.058,0.3523,13.28,8.035,6.724,1.625,152.5,7.189,8.771,18971.09
106,2020-06-03,6.694,8.302,0.3488,13.945,8.45,7.071,1.6732,157.05,7.504,8.999,19641.81
107,2020-06-04,6.68,8.568,0.3505,14.005,8.515,7.019,1.6938,155.2,7.485,8.964,19634.03
108,2020-06-05,7.08,8.77,0.3612,14.385,8.919,7.51,1.7728,153.9,7.578,9.506,20187.51
109,2020-06-08,7.142,8.952,0.371,14.42,9.269,7.587,1.8034,151.6,7.577,9.664,20231.38
110,2020-06-09,6.846,8.676,0.3686,14.265,8.925,7.253,1.72,153.35,7.542,9.376,19930.2
111,2020-06-10,6.668,8.576,0.3716,13.97,8.63,7.058,1.7026,154.5,7.512,9.23,19758.01
112,2020-06-11,6.228,8.124,0.3411,13.43,7.951,6.514,1.6178,148.95,7.327,8.581,18806.86
113,2020-06-12,6.196,8.248,0.3534,13.425,7.942,6.608,1.622,148.65,7.345,8.587,18888.16
114,2020-06-15,6.214,8.318,0.3465,13.405,7.895,6.61,1.6266,148.2,7.362,8.58,18969.29
115,2020-06-16,6.544,8.486,0.3734,13.705,8.418,6.799,1.6992,152.2,7.566,8.935,19625.63
116,2020-06-17,6.582,8.448,0.374,13.605,8.398,6.773,1.7038,150.9,7.505,8.896,19585.89
117,2020-06-18,6.538,8.388,0.367,13.435,8.24,6.752,1.6858,150.7,7.473,8.835,19485.76
118,2020-06-19,6.43,8.22,0.38,13.615,8.255,6.817,1.6848,151.7,7.6,8.874,19618.93
119,2020-06-22,6.234,8.074,0.3798,13.43,8.241,6.91,1.6824,152.1,7.6,8.803,19478.73
120,2020-06-23,6.32,8.212,0.3789,13.63,8.427,7.31,1.7114,154.6,7.811,8.896,19841.58
121,2020-06-24,6.03,7.848,0.362,13.265,8.069,6.988,1.6668,149.55,7.624,8.472,19162.98
122,2020-06-25,5.958,7.904,0.367,13.3,8.053,7.09,1.6848,149.9,7.663,8.481,19234.75
123,2020-06-26,5.85,7.746,0.3532,13.28,7.909,6.964,1.66,151.4,7.639,8.397,19124.36
124,2020-06-29,5.986,7.982,0.3623,13.42,8.259,7.12,1.702,151.9,7.724,8.625,19447.02
125,2020-06-30,5.9,7.74,0.3497,13.47,8.188,7.213,1.7036,151.85,7.678,8.49,19375.52
126,2020-07-01,5.834,7.754,0.3504,13.465,8.112,7.086,1.6906,151.45,7.702,8.475,19330.88
127,2020-07-02,5.972,7.904,0.3547,13.835,8.568,7.258,1.7528,154.9,7.947,8.72,19886.88
128,2020-07-03,5.844,7.788,0.3485,13.745,8.422,7.178,1.7468,153.6,7.874,8.674,19726.65
129,2020-07-06,5.99,7.914,0.3605,13.885,8.738,7.262,1.7922,156.6,7.914,8.758,20031.86
130,2020-07-07,5.912,7.87,0.349,13.755,8.673,7.245,1.7866,155.55,7.975,8.82,20012.68
131,2020-07-08,5.862,7.808,0.3462,13.615,8.594,7.094,1.763,154.5,8.086,8.698,19899.53
132,2020-07-09,5.608,7.624,0.342,13.395,8.298,6.961,1.7312,154.7,7.936,8.434,19505.95
133,2020-07-10,5.618,7.69,0.3447,13.495,8.52,7.124,1.7654,157.0,8.03,8.492,19767.6
134,2020-07-13,6.012,7.836,0.365,13.64,8.702,7.303,1.7814,158.55,8.122,8.66,20003.25
135,2020-07-14,6.03,7.806,0.3715,13.71,8.665,7.241,1.781,155.3,8.014,8.783,19879.75
136,2020-07-15,6.416,7.84,0.3754,13.815,8.77,7.315,1.8144,157.25,8.169,8.836,20281.38
137,2020-07-16,6.36,7.862,0.3918,13.82,8.807,7.398,1.8394,154.9,8.253,8.895,20356.09
138,2020-07-17,6.4,7.788,0.3905,13.69,8.81,7.389,1.8318,154.1,8.427,8.813,20419.39
139,2020-07-20,6.45,8.186,0.3974,13.78,8.838,7.433,1.8544,157.0,8.322,8.781,20621.48
140,2020-07-21,6.302,8.246,0.3875,13.98,8.964,7.449,1.8848,159.0,8.33,8.929,20723.42
141,2020-07-22,6.222,8.32,0.3855,13.91,8.973,7.386,1.8762,158.25,8.194,8.707,20598.78
142,2020-07-23,6.182,8.188,0.3837,13.78,8.751,7.432,1.8492,159.3,8.134,8.601,20454.46
143,2020-07-24,6.144,8.148,0.3818,13.59,8.681,7.32,1.8154,154.5,7.944,8.52,20075.27
144,2020-07-27,5.93,7.944,0.3627,13.515,8.562,7.317,1.8014,155.05,7.921,8.463,20019.96
145,2020-07-28,5.892,7.9,0.3604,13.59,8.465,7.479,1.7862,153.15,7.9,8.477,19902.63
146,2020-07-29,5.836,7.88,0.3617,13.5,8.225,7.385,1.7894,153.75,7.975,8.41,19880.57
147,2020-07-30,5.704,7.61,0.3467,12.81,7.819,7.094,1.735,152.85,7.737,7.818,19228.47
148,2020-07-31,5.41,7.752,0.3408,12.66,7.721,6.952,1.7072,151.35,7.729,7.541,19091.93
149,2020-08-03,5.538,7.896,0.3489,12.735,7.752,7.287,1.7082,157.2,7.856,7.534,19379.79
150,2020-08-04,5.804,7.95,0.3708,12.935,8.006,7.573,1.7936,157.75,7.869,7.859,19613.95
151,2020-08-05,5.888,7.948,0.3856,13.035,8.079,7.579,1.8344,157.7,7.833,8.096,19740.2
152,2020-08-06,5.856,7.824,0.3787,12.775,7.766,7.499,1.8138,156.7,7.73,7.942,19475.15
153,2020-08-07,5.878,7.886,0.3747,12.705,7.731,7.488,1.8054,158.2,7.815,7.806,19516.43
154,2020-08-10,6.054,8.024,0.382,12.775,7.868,7.617,1.814,156.15,7.865,7.986,19651.57
155,2020-08-11,6.254,8.152,0.3886,13.245,8.251,8.019,1.8612,159.0,7.964,8.244,20209.11
156,2020-08-12,6.268,8.142,0.386,13.3,8.36,7.989,1.8828,163.25,8.11,8.373,20437.36
157,2020-08-13,6.14,8.044,0.3754,13.17,8.226,7.871,1.8656,165.0,8.008,8.245,20257.31
158,2020-08-14,5.988,8.01,0.3786,13.11,8.26,7.815,1.8516,164.1,7.885,8.179,20028.11
159,2020-08-17,5.84,7.884,0.3696,12.91,8.135,7.783,1.8244,166.85,7.808,8.1,19950.32
160,2020-08-18,5.884,7.858,0.367,12.935,8.16,7.748,1.8148,165.1,7.788,8.054,19845.61
161,2020-08-19,6.0,7.94,0.3745,13.14,8.328,7.765,1.845,163.8,7.865,8.128,20055.4
162,2020-08-20,5.898,7.824,0.369,13.03,8.177,7.62,1.8162,163.95,7.755,7.935,19766.96
163,2020-08-21,5.806,7.804,0.3638,12.94,8.124,7.522,1.8116,164.0,7.731,7.873,19695.43
164,2020-08-24,6.008,7.94,0.3748,13.215,8.297,7.764,1.8392,165.9,7.866,8.191,20113.36
165,2020-08-25,5.986,7.91,0.3696,13.29,8.248,7.675,1.834,166.2,7.804,8.078,20030.05
166,2020-08-26,5.93,7.936,0.3884,13.395,8.32,7.718,1.8426,167.6,7.798,8.1,20137.29
167,2020-08-27,5.896,7.844,0.4017,13.3,8.165,7.621,1.8038,165.35,7.617,7.986,19847.38
168,2020-08-28,5.834,7.85,0.4008,13.24,8.447,7.593,1.825,164.4,7.64,7.962,19841.01
169,2020-08-31,5.668,7.69,0.3988,13.005,8.25,7.445,1.8052,163.2,7.589,7.8,19633.69
170,2020-09-01,5.634,7.734,0.3906,13.025,8.151,7.357,1.8018,163.05,7.504,7.776,19595.02
171,2020-09-02,5.73,7.806,0.3938,13.02,8.07,7.399,1.7936,165.1,7.648,7.676,19858.21
172,2020-09-03,5.704,7.676,0.3977,12.96,8.02,7.483,1.7788,162.05,7.58,7.696,19551.48
173,2020-09-04,5.66,7.692,0.3936,12.82,8.122,7.606,1.7786,160.7,7.412,7.645,19391.25
174,2020-09-07,5.722,7.958,0.392,12.91,8.17,7.77,1.7938,162.85,7.593,7.773,19738.01
175,2020-09-08,5.598,7.794,0.3832,12.685,7.866,7.751,1.762,160.95,7.473,7.519,19380.18
176,2020-09-09,5.516,7.94,0.387,12.95,8.12,7.752,1.7902,160.9,7.651,7.628,19771.32
177,2020-09-10,5.57,7.98,0.3864,12.96,8.222,7.973,1.8012,160.2,7.604,7.626,19820.22
178,2020-09-11,5.468,7.966,0.379,12.84,8.056,7.995,1.7792,162.0,7.66,7.599,19820.75
179,2020-09-14,5.516,7.97,0.3722,12.825,8.087,8.051,1.779,161.4,7.561,7.476,19793.8
180,2020-09-15,5.578,7.924,0.375,12.775,7.95,8.776,1.7688,162.2,7.629,7.612,19956.95
181,2020-09-16,5.64,7.9,0.3724,12.805,7.92,8.72,1.7602,160.85,7.575,7.651,19963.99
182,2020-09-17,5.72,7.944,0.362,12.675,7.808,8.681,1.7434,160.5,7.38,7.594,19739.73
183,2020-09-18,5.5,7.762,0.3535,12.325,7.564,8.37,1.7148,159.1,7.42,7.388,19524.94
184,2020-09-21,5.13,7.492,0.3428,11.845,7.097,8.014,1.6356,154.45,7.259,6.95,18793.35
185,2020-09-22,4.975,7.598,0.3449,11.78,6.964,8.241,1.6418,156.05,7.321,7.056,18895.59
186,2020-09-23,4.836,7.66,0.346,11.73,6.745,8.379,1.6122,156.3,7.46,6.928,18929.89
187,2020-09-24,4.958,7.644,0.3464,11.635,6.899,8.365,1.608,157.05,7.37,6.812,18906.83
188,2020-09-25,4.985,7.586,0.338,11.55,6.74,8.25,1.579,155.05,7.335,6.689,18698.36
189,2020-09-28,5.156,7.73,0.3465,12.005,7.107,8.578,1.6246,157.35,7.448,6.86,19160.1
190,2020-09-29,5.0,7.576,0.3408,11.935,7.023,8.378,1.6068,156.15,7.5,6.665,19061.18
191,2020-09-30,5.0,7.568,0.342,12.025,7.045,8.442,1.603,156.65,7.418,6.688,19015.27
192,2020-10-01,4.878,7.512,0.3357,11.865,6.958,8.37,1.5864,156.9,7.468,6.462,19061.5
193,2020-10-02,4.825,7.556,0.3398,11.935,6.949,8.347,1.5924,155.4,7.468,6.497,19064.31
194,2020-10-05,4.901,7.9,0.3527,12.07,7.062,8.455,1.6332,153.8,7.394,6.69,19265.51
195,2020-10-06,5.164,8.088,0.3592,12.375,7.45,8.607,1.6684,152.4,7.364,6.918,19429.81
196,2020-10-07,5.134,8.018,0.3503,12.335,7.367,8.631,1.6488,156.75,7.596,6.73,19435.08
197,2020-10-08,5.234,8.014,0.3584,12.585,7.545,8.613,1.6754,154.55,7.547,6.885,19582.43
198,2020-10-09,5.1,8.016,0.3476,12.51,7.418,8.494,1.679,154.85,7.524,6.862,19595.38
199,2020-10-12,4.955,8.034,0.3465,12.48,7.346,8.576,1.6706,156.85,7.687,6.819,19718.77
200,2020-10-13,4.845,7.87,0.3472,12.35,7.077,8.433,1.6332,157.35,7.712,6.686,19558.69
201,2020-10-14,4.863,8.036,0.3472,12.345,7.053,8.525,1.6174,157.6,7.73,6.698,19607.73
202,2020-10-15,4.669,7.634,0.3387,11.915,6.822,8.342,1.5376,158.45,7.463,6.418,19065.44
203,2020-10-16,4.764,7.73,0.3428,12.14,6.866,8.695,1.5558,163.85,7.527,6.563,19389.68
204,2020-10-19,4.763,7.728,0.3459,12.205,6.896,8.666,1.5598,162.85,7.469,6.586,19374.21
205,2020-10-20,4.922,7.738,0.341,12.235,7.056,8.692,1.58,162.8,7.582,6.562,19482.13
206,2020-10-21,4.687,7.594,0.333,11.93,6.79,8.634,1.5358,159.8,7.515,6.34,19085.95
207,2020-10-22,4.66,7.606,0.3241,11.945,6.815,8.845,1.5368,161.0,7.45,6.341,19076.95
208,2020-10-23,4.766,7.592,0.3188,12.06,6.947,8.952,1.5612,160.5,7.569,6.444,19285.41
209,2020-10-26,4.621,7.47,0.3166,11.875,6.85,9.016,1.527,156.35,7.5,6.245,18945.14
210,2020-10-27,4.427,7.416,0.3087,11.635,6.58,8.866,1.4906,156.95,7.395,6.1,18654.95
211,2020-10-28,4.25,7.104,0.2949,11.36,6.318,8.523,1.418,151.85,6.95,5.885,17897.79
212,2020-10-29,4.109,7.008,0.2907,11.395,6.262,8.52,1.3992,152.85,6.937,5.918,17872.28
213,2020-10-30,4.088,7.0,0.2914,11.51,6.401,8.502,1.4196,153.15,6.834,6.011,17943.11
214,2020-11-02,4.242,7.168,0.3017,11.805,6.606,8.726,1.4824,157.2,6.986,6.362,18400.03
215,2020-11-03,4.475,7.236,0.3116,12.035,6.864,8.876,1.5406,168.3,7.217,6.514,18986.24
216,2020-11-04,4.6,7.464,0.315,12.2,7.01,9.008,1.5978,172.15,7.368,6.597,19358.28
217,2020-11-05,4.678,7.71,0.3157,12.38,7.022,9.213,1.6372,174.55,7.611,6.596,19731.38
218,2020-11-06,4.34,7.584,0.3131,12.35,6.806,9.062,1.6168,174.8,7.712,6.542,19681.68
219,2020-11-09,5.046,7.852,0.3362,13.16,7.74,9.615,1.7658,178.55,8.051,7.378,20750.18
220,2020-11-10,5.42,8.046,0.335,13.47,8.14,9.855,1.8442,173.1,8.047,7.678,20851.58
221,2020-11-11,5.356,7.988,0.331,13.48,8.098,9.937,1.8248,177.45,8.212,7.592,20993.02
222,2020-11-12,5.21,8.23,0.3361,13.46,7.988,9.728,1.802,176.35,8.08,7.618,20817.73
223,2020-11-13,5.264,8.504,0.3371,13.635,8.112,9.849,1.8178,174.5,8.02,7.66,20903.58
224,2020-11-16,5.674,8.614,0.3466,13.965,8.295,10.154,1.84,175.0,8.089,7.968,21317.01
225,2020-11-17,5.728,8.76,0.3519,14.13,8.43,10.183,1.8492,177.2,8.112,8.086,21435.11
226,2020-11-18,5.796,8.854,0.3619,14.23,8.505,10.225,1.8734,179.75,8.122,8.194,21622.66
227,2020-11-19,5.686,8.718,0.3609,14.07,8.401,10.436,1.8542,179.95,8.164,8.077,21536.24
228,2020-11-20,5.732,8.76,0.3544,14.205,8.47,10.387,1.8704,178.5,8.233,8.125,21706.96
229,2020-11-23,5.898,8.602,0.3606,14.22,8.757,10.362,1.8634,176.5,8.08,8.33,21701.79
230,2020-11-24,6.228,8.796,0.372,14.38,9.2,10.56,1.916,177.85,8.418,8.62,22145.06
231,2020-11-25,6.22,8.796,0.3801,14.495,9.299,10.633,1.9422,177.4,8.487,8.672,22303.58
232,2020-11-26,6.088,8.712,0.395,14.47,9.07,10.555,1.9292,176.8,8.47,8.558,22201.44
233,2020-11-27,5.986,8.8,0.4012,14.47,9.094,10.667,1.9446,178.55,8.502,8.582,22352.46
234,2020-11-30,6.064,8.544,0.3925,14.32,8.643,10.537,1.9254,176.8,8.37,8.303,22060.98
235,2020-12-01,6.086,8.612,0.3923,14.47,7.95,10.668,1.977,177.15,8.32,8.415,22099.92
236,2020-12-02,6.144,8.474,0.3857,14.425,7.983,10.629,1.971,177.4,8.282,8.499,21972.2
237,2020-12-03,6.33,8.474,0.3829,14.47,8.022,10.67,1.9862,177.8,8.209,8.452,22007.4
238,2020-12-04,6.54,8.504,0.3936,14.57,8.13,10.928,1.9906,174.2,8.206,8.744,22178.8
239,2020-12-07,6.484,8.408,0.3938,14.5,8.034,10.857,1.9712,174.05,8.181,8.767,22107.18
240,2020-12-08,6.332,8.394,0.3909,14.36,7.92,10.812,1.969,174.65,8.16,8.79,22053.42
241,2020-12-09,6.33,8.406,0.3978,14.325,8.029,11.11,1.976,179.55,8.12,8.843,21969.59
242,2020-12-10,6.154,8.418,0.3988,14.355,7.9,11.154,1.9608,176.2,8.21,8.936,21915.51
243,2020-12-11,5.936,8.35,0.3831,14.085,7.824,11.0,1.9358,176.75,8.049,8.808,21702.16
244,2020-12-14,5.852,8.35,0.3851,14.26,7.694,11.146,1.9392,178.9,8.122,8.678,21759.73
245,2020-12-15,6.03,8.344,0.3863,14.28,7.89,11.392,1.975,181.6,8.045,8.752,21935.05
246,2020-12-16,5.9,8.478,0.387,14.295,7.801,11.544,1.943,182.45,8.162,8.756,21986.52
247,2020-12-17,5.864,8.39,0.375,14.325,7.786,11.617,1.9444,183.5,8.173,8.711,22012.07
248,2020-12-18,5.84,8.358,0.3794,14.38,7.721,11.717,1.9352,184.15,8.16,8.621,21976.12
249,2020-12-21,5.654,8.166,0.3652,13.89,7.419,11.492,1.8676,181.55,7.856,8.244,21410.51
